mot_moore;sens_num;categorie_grammaticale;prononciation;definition_francais;definition_english;variante;pluriel;domaine;synonymes;antonymes
fabe;2;Verbe;á;avorter (animal);abort, miscarry (of animal);;;;vibgi1;
fabge;;Verbe;á-è;jeter au sol avec force;throw to the ground;;fabse;;;
fade;1;Verbe;á;payer l'impôt;pay taxes.;;;;;
fade;2;Nom;;espèce de plante;kind of plant;;;Grass, herb, vine;;
fãe;;Adverbe;ã́;brillant, clairement;brilliantly, clearly.;;;;;
fãeege;;Verbe;ã́-e;éclabousser, asperger, jeter à la volée;spatter, spill off, splash;;;;;
fae-fae;;Adverbe;;légèrement sec;slightly dry.;fɛ-fɛ;;;;
fãerge;;Verbe;ã́-è;défaire, éparpiller en jetant;undo, scatter in throwing.;;;;;
faga;1;Adverbe;à;complètement vide, à plat;completely empty, flat;;;;;
faga;2;Adverbe;;tout blanc;very white;;;;falll;
fage;;Verbe;à;tromper par ruse;cheat cunningly, to trick, deceive;;;;belge1;
fagla;;Nom;à-á;bonnet;cap, hat.;;faglse;;;
fãgla;;Nom;ã̀-á;bonnet;cap, bonnet, hat.;;fãglɩ;;;
fagse;;Verbe;á-è;vider complètement et laisser à plat;empty completely and leave it flat.;;;;;
fake;1;Verbe;à;disparaître de la vue;disappear from view.;;;;;
fake;2;Verbe;à;finir par dégoûter;finish by disgusting /hating it;;;;;
faklga;;Adjectif;à-á;aplati;flattened.;;faklse;;;
faktɩʋʋre;;Nom;á;facture;invoice, account, bill, credit note;;;Money;;
falenga;;Nom;á;le plus jeune des circoncis;the youngest of the circumcised.;;falense;;;
fal-fale;;Adverbe;á;léger;light;;;;;
falll;;Adverbe;á;tout blanc;extremely white;;;Colour;faga2, fara;
fão;;Verbe;ã̀;buter contre, heurter;stumble over, bump into, hit, strike, knock, to butt.;;;;;
faodgo;;Nom;á-ò;impôt;tax;;fato;Money;lampo;
faong teoogo;;Nom;;parure;finery, dressed up in all their finery.;;;;;
faongo;;Nom;á-ò;coquetterie vestimentaire;vanity in clothing.;;;;;
fãoobo;;Nom;;action d'appliquer en jetant contre;putting on by throwing at;;;;;
fãooge;;Verbe;ã́-è;appliquer en jetant contre;put on in throwing at, throw against, splatter, splash;;fão;;;
faoogo;1;Nom;à-ó;coucal du Sénégal;Senegal coucal;;faado;Bird;bʋdb-tuu-tuu, kafaoogo;
faoogo;2;Adjectif;á;sans contenu, sans substance, vide;without content or substance, empty;;faado;;;
faoogo;3;Nom;ò-ó;insecte ressemblant à une mouche, se nourrissant du sang;insect similar to a fly eating blood;;faado;Insect;;
faoole;;Verbe;á-è;malmener, traiter comme un rien;treat roughly, deal with somebody without showing respect;;;;;
faoolme;;Verbe;á-è;perdre la face, son prestige, se comporter en vaurien;loose face, loose respect, conduct oneself like a fool.;;;;;
faoore;;Nom;áo-é;grave préjudice, dommage;detriment, harm, damage;;faoa;;;
fara;;Adverbe;á;tout blanc;completely white;;;Colour;falll;
fãrbo;;Nom;á-ò;cueillette (feuilles);picking (of leaves), gathering leaves.;;;;;
fare;1;Nom;à-é;peine, souffrance, douleur, misère;pain, suffering, ache, misery;;;;namsgo;
fare;2;Verbe;á;dégringoler;rush down, tumble down;;;;;
fãre;;Verbe;ã́;arracher des feuilles;pull off leaves, to strip leaves (by handfuls).;;fãrse;;;
fãrende;;Nom;;français;French.;farende;;;;
Fãrens tẽngẽ;;expression;;en France;in France;;;Country;;
farge;;Verbe;á-è;aller rapidement;go quickly;;;;;
fãrge;;Verbe;;exfolier;to strip leaves, denude a plant.;;;;;
farongo;;Nom;;arbuste (espèce);shrub sp;;;Bush, shrub;pargande;
fãsge;;Verbe;ã́-è;casser en tirant, cueillir, récolter;break by pulling, pluck, tear off, pick, harvest.;;fãse;;;
fasɩ;;Adverbe;á;net, très claire;sharply, very clearly;fasa, fas-fase;;;paa;
fasme;;Verbe;á;avoir une aptitude;have a capacity to do, to be skilful.;;;;;
fass;;Adverbe;á;complètement, absolument, clairement, sans traces;completely, absolutely, clearly;;;;kasɩ2;
fãto;;Nom;ã́-ò;résidu pâteux;slushy residue;;;;;
fayy;;Adverbe;;brillant;brilliantly, brightly, shiningly;faee;;;;
fe;;auxiliaire;é;pourvu que;so long as, let's hope;feeg;;;we, weeg, ye4, yeeg;
fẽ';;Adverbe;ẽ̀;boueux, souillé;muddy, dirty, sludgy.;fẽ'e;;;;
febelle;;Adjectif;é;brûlé, écorché;burnt, abraded;;fɛbla;;;
fẽbgdem;;Adjectif;ẽ̀;poreux;porous, permeable;;;;;
febge;;Verbe;è;écorcher;flay, to skin, remove the skin (from animal), to graze.;;;;;
fẽbge;;Verbe;ẽ́-è;disparaître par infiltration, vider un liquide par aspiration;disappear by infiltration, empty a liquid by aspiration;;fẽebe;;;
fẽbgre;;Nom;è-é;infiltration, aspiration;infiltration.;;;;;
feble;1;Verbe;è;s'écorcher, se brûler;flay, burn oneself.;;;;;
feble;2;Verbe;é-è;parler avec volubilité (beaucoup ou rapide);talk a lot or quickly;;;;;
fẽdge;;Verbe;ẽ́-è;écraser, écrabouiller;squash, crush;;fẽde, fẽdse;;;
fẽebdga;;Adjectif;ẽ́-è;qui tarissent;that dry up;;fẽebdse;;;
feeg;;auxiliaire;;pourvu que;so long as, let's hope that;fe;;;we, weeg;
fẽege;;Verbe;ẽ̀-è;se moucher;blow one's nose, to wipe ones nose.;;fẽese;;;
feesbuk;;Nom;;Facebook;Facebook;;;computer / digital;;
feese;;Verbe;;enquêter, examiner, investiguer;hold an inquiry, investigate, examine;fɛɛse;;;;
fẽgse;;Verbe;ẽ́-è;renifler;snuffle, sniff, sniffle, nuzzle, snort, snuff;;;;;
fẽmm;;Adverbe;ẽ̀;intensément (regard, attention);intensely (looking or pay attention);;;;;
fẽnetre;;Nom;é;fenêtre;window;fɩnetre;fẽneta;Household equipment;peem-lɛɛga;
fẽo;;Adverbe;ẽ́;dense, serré;close, dense, tightly.;;;;;
feooge;;Verbe;è;extirper, arracher, déterrer;root out, pull up, tear out, to pull sth;;feoose;;;
feoogo;;Adjectif;è-ó;vide, creux (car arraché);empty (because pulled off);;feedo;;;
fẽoolle;;Adjectif;ẽ́;consistant, épais;substantial, thick;fẽoonde;fẽoola;;;
feoore;;Nom;;cicatrice (accident);a scar (accidental);;;;;
fẽoose;;Verbe;ẽ́-è;aspirer, inhaler;suck up, draw a fluid, draw in, to breathe in, sniff up (as: nasal mucus), inhale;;;;;
feoosgo;;Nom;èo-ó;action d'arracher;tearing away, pulling away, grabbing sth from sb.;;;;;
fẽra;;Adverbe;ẽ̀;parsemé sur tout l'endroit;spread out on the whole surface;firrr;;;;
fẽre;;Verbe;ẽ́;s'enfoncer, s'embourber, s'enliser;to sink in, get stuck in the mud, bog down.;;;;;
feremde;;Verbe;é-è;devenir boueux;become muddy, sludgy.;;;;;
ferge;;Verbe;é-è;parsemer, émailler;disseminate, enamel;;;;;
ferme;;Verbe;è-é;marginaliser, devenir asocial;opt out of society, become marginal.;;;;;
fẽrʋ;;Nom;ẽ̀-ʋ́;frein;brake.;;fẽrʋ-rãmba;;;
fẽto;;Adjectif;;pulpe écrasée;squashed pulp;;;;;
fɛ;1;Verbe;ɛ́;assécher;dry out, to dry sth., drain.;;;;;
fɛ;2;Verbe;ɛ́;paresser;laze;;;;;
fɛbga;;Adjectif;ɛ́;mince au point de ne pas retenir un habit autour de la taille;too thin to hold a garment around the waist.;;febse;;;
fɛda;;Adverbe;ɛ̀;humide et désagréable;humid and unpleasant;fɛ'ɛ, fɛga;;;;
fɛɛdga;1;Adjectif;ɛ́;paresseux;lazy.;;fɛɛdse;;;
fɛɛdga;2;Adjectif;ɛ́;asséché;dried out.;;fɛɛdse;;;
fɛɛge;;Verbe;ɛ́-è;sécher un peu, sécher à moitié;to partly-dry sth., dry a bit, dry half way.;;fɛɛse;;;
fɛɛlge;;Verbe;ɛ́-è;étaler pour faire sécher;to spread out to let dry, to spread sth;;fɛɛle, fɛɛse;;;
fɛɛre;;Nom;;un fer à repasser;iron, smoothing-iron;;;Tool, Clothing;;
fɛɛsa;;Nom;;fabirama;Frafra potatoes;;;Food;peesre, pɛɛsa;
fɛɛse;1;Verbe;;questionner pour tout savoir, sonder;ask to find out everything;;;;;
fɛfɛ;;Nom;ɛ̀-ɛ́;condiment;seasoning, condiment;;;Grass, herb, vine;;
fɛres-rãmba;;Nom;;fraises;strawberries;;;Food;;
fibga;;Adverbe;í;susceptible de tomber, de glisser, de se défaire;likely to fall, glide, slide, unfasten, undo;;;;;
fibi;1;Verbe;í;éventer, agiter l'air près de;to fan.;;;;;
fibi;2;Verbe;í;duper, tromper, berner, escroquer;fool, dupe, trick sb;;;;;
fĩdgi;;Verbe;ĩ́-ì;prélever un petit morceau;take away a small piece.;;fĩdsi;;;
fidi;;Verbe;í;porter des beaux habits;wear nice clothes;;;;;
fĩini;;Verbe;ĩ́-ì;supplier, implorer;entreat, beg, implore, beseech.;;;;;
fika;;Nom;ì-á;éventail;fan.;;figsi;;;
fi-linga;;Nom;;espèce d'arbuste;kind of shrub;fi-linga, fi-ninga, filega;;Bush, shrub;;
film;;Nom;;film;movie;;;computer / digital;;
fĩnfĩi;;Adverbe;ĩ́-ĩ́;très peu;very little, very small quantity, tiny bit, wee-small.;fĩifu, fĩnfĩifu, fĩyãa;;;;
fira;;Adverbe;;couvert de, parsemé de;covered with, studded with.;firrr;;;;
fir-firi;;Adverbe;í;allant ici et là de manière agitée;go here and there in hectic manner.;;;;;
firgi;1;Verbe;ì;couper d'un trait;cut at once.;;firsi;;;
firgi;2;Verbe;í-ì;parsemer, couvrir;disseminate, cover.;;;;;
firgo;;Nom;;réfrigérateur;fridge, refrigerator.;;;;;
fisga;;Adjectif;í;mal relié;badly bound;;fissi;;;
fisgi;;Verbe;ì;se défaire, dénouer;unfasten, undo, untied, to come undone;;fisi;;;
fisiye;;Nom;;fichier;file;;;computer / digital;;
fiu;;Verbe;ì;défricher, couper les touffes d'herbe;to cut grass, clear (as: a farm).;;;;;
fiuku;;Adjectif;ì-ú;large;broad, wide;;figdu;;vaoko1;
fiuugi;;Verbe;ì;couper, un morceau en cassant le bout, amputer;take away a bit by breaking it at an end;;fiuusi;;;
fiuungu;1;Adjectif;í-ù;coupé;cut, shortened;;fiuundu;;;
fiuungu;2;Nom;ìu-ú;action de couper, coupé;cutting.;;;;;
fĩ-zã;;Nom;;espèce d'arbre;kind of tree;;;Tree;;
fɩ;;Adverbe;ɩ́;rien;nothing;fʋɩ;;;;
fɩbe;;Verbe;;donner un coup de fouet;to whip.;;fɩbse;;;
fɩbge;1;Verbe;ɩ̀;enlever de sa coque / enveloppe;take off its shell / envelope, to squeeze sth;;fɩɩbe, fɩbse;;;
fɩbge;2;Verbe;ɩ́-è;donner un coup de fouet, taper (une seule fois);hit /beat with something (single instance), to whip;;fɩbse, fɩbe;;;
fɩdge;;Verbe;ɩ̀;faire sortir de son enveloppe en tirant ou en repliant celle-ci;make get of its envelope by pulling, unwrap sth.;;;;;
fɩɩbre;;Nom;ɩ́;enveloppe des céréales;husk of cereals.;;fɩɩba;;;
fɩɩge;;Verbe;ɩ́-è;augmenter;increase;;;;mode;
fɩɩle;1;Verbe;ɩ̀;siffler;whistle;;;;vɩɩle, vɩɩle;
fɩɩle;2;Verbe;;disparaître, éclipser;vanish, disappear, slip away.;;;;;
fɩɩlgo;;Nom;;sifflement;whistling;;;;;
fɩɩre;1;Nom;;enflure, œdème;swelling;;;Disease;modsem;
fɩɩre;2;Nom;ɩ́-è;augmentation, gonflement;increase, raise, augmentation.;;;;;
fɩke;;Verbe;ɩ̀;être projeté, propulsé;be thrown;;fɩgse;;;
fɩle;;Verbe;;remercier;to thank;;;;pʋʋs barka;
fɩlem-fɩlem;;Adverbe;ɩ̀;rapidement;quickly, fast;;;;;
fɩma;;Adverbe;;d'un goût piquant;spicy taste, flavour;fɩmm, fɩmsaa, fimsa;;;;
fɩnetre;;Nom;;fenêtre;window;fẽnetre;;Household equipment;;
fɩrdga;;Nom;;spatule en bois pour battre le lait ou beurre;wooden spatula to whip the milk or butter, dasher, paddle for churning milk / butter;;fɩrdse;Tool;;
fɩre;;Verbe;ɩ́;battre pour séparer (lait, beurre, huile);to churn, separate out milk, butter, oil.;;;;;
fɩrga;;Adjectif;ɩ̀-á;boueux et glissant;muddy and slippery;;fɩrse;;;
fɩrge;;Verbe;ɩ̀;extraire, quitter son support, déchausser;extract, get out of its supporting structure, take off shoes, lay bare.;;fɩrse;;;
fɩsge;1;Verbe;ɩ́-è;progresser un peu plus;progress a little more.;;fɩse;;;
fɩsge;2;Verbe;ɩ-è;se détacher, se libérer;detach (oneself), liberate, release, get free;;;;;
fɩtla;;Nom;;lampe à pétrole;lamp (petroleum).;fitla;;;;
fɩʋʋgo;;Nom;ɩ́-ó;cage tressé servant à transporter des volailles;woven cage to transport chicken, fowl-basket;;fɩɩdo;Container, Animal husbandry;;
fo;1;Pronom;ò;tu, toi;you, thou;fu, f, ef, foo;;;;
fo;2;Verbe;ó;enlever plusieurs choses en tirant;take away several things by pulling.;;;;;
fo;3;Verbe;ò;serrer entre les jambes;press between legs, tighten.;;;;;
fõ;;Verbe;;bourdonner;buzz, whirr, drone;;;;võ2;
fõadga;;Nom;;bourdonnement;buzzing, whirring, droning;;;;võaaga, fõdbo;
fõara;;Adverbe;ṍá;complètement, en profondeur;completely, in depth;;;;;
fobge;;Verbe;ò;détacher en glissant, dés-enrouler, enlever;untie, detach unfasten.;;fobse;;;
fõbge;;Verbe;ṍ-è;boire, vider d'un trait;drink, empty at once.;;;;;
fõdbo;;Nom;;bourdonnement;buzzing, whirring, droning;;;;fõadga, võaaga;
fõde;;Verbe;ṍ;aller en vitesse, rapidement, bouger vite;go quickly, move quickly.;;;;;
fõdge;;Verbe;ṍ-è;se précipiter, se hâter;rush, go precipitately, speed up, hasten, to hurry.;;;;;
fõge;1;Verbe;ṍ;piler un légume frais;pound a fresh vegetable.;;;;;
fõge;2;Verbe;;couvrir, renverser, poser l'ouverture vers le bas;cover, reverse, put upside down, to put mouth down, invert sth., to cover;fõgne;;;;
fõgne;;Verbe;;couvrir, renverser, poser l'ouverture vers le bas;cover, reverse, put upside down, to put mouth down, invert sth., to cover;;;;;fõke
fõke;;Verbe;õ̀;enlever le couvercle, découvrir;take off the lid, uncover the lid;;fõgse;;;fõgne
fol-fole;;Adjectif;ò;gluant;sticky;;;;;
folle;;Adjectif;ò-é;gluant, amorphe;sticky, amorphous.;;foala;;;
foo;;Pronom;ó;toi;you (sg.) A gomda ne foo;foom, foogo;yãmba;;;
foobre;;Nom;ó;rouleau;roll;;foaaba;;;
fooge;1;Verbe;;enlever une chose en tirant, défaire;take away one thing by pulling, unfasten;;;;wõoge;
fooge;2;Verbe;ó-è;frapper, battre;hit, strike, thresh;;;;;
fooge;3;Verbe;ò;tutoyer;use the familiar form.;;;;;
fõoge;;Verbe;ṍ-è;pomper, aspirer, inhaler;pump, suck up, draw a fluid, inhale, breathe;;fõose;;;
foogo;;Nom;ó-ò;tube;pipe.;;;;;
fõogre;;Nom;ó-é;infiltration, pompage;infiltration.;;;;;
foolle;;Nom;ó-é;espace entre deux lignes;space between two lines;;foaala;;;
foom;;Pronom;ó;toi (emphatique);you (sg.) emphatic pronoun, thou, thee, thy;foo;yãmba;;;
fõosre;;Nom;ṍ;bronchite, pneumonie;bronchitis, pneumonia;;fõaasa;Disease;waorengo;
fõre;;Verbe;ṍ;s'enfoncer dans, s'introduire dans;sink in, introduce.;;;;;
fõr-fõre;;Adjectif;õ̀;poreux, cartilagineux;porous, permeable;;;;;
fõrse;;Verbe;ṍ-è;faire pénétrer péniblement;make to penetrate with difficulty.;;;;;
fõss;;Adverbe;;impeccablement, franchement;impeccable, faultless, straight out;;;;;
foto;;Nom;;photo;photo;;fot-rãmba;computer / digital;;
foto suiidga;;Nom;;album photo;album.;;;;;
fotokopi;;Nom;;photocopie;photocopy.;;;;;
fu;1;Pronom;ù;te, toi (en position d'objet après voyelle i, ĩ, u, ũ);you;;;;;
fu;2;Verbe;ú;moudre pour la seconde fois;grind for the second time.;;;;;
fu;3;Nom;ù;boule de fibres pour laver la vaisselle;chunk of fibres used for washing dishes.;;;;;
fũbgi;;Verbe;ṹ-ì;contracter (ventre), comprimer;contract (belly, stomach), compress.;;fũbsi;;;
fu-bila;1;Nom;ú-á;tissu pour porter des enfants;cloth for carrying children.;;;;;
fu-bila;2;Nom;;tricot;sweater.;;;;;
fudgi;;Verbe;ù;déborder par suite d’ébullition;to boil over, overflow because of cooking, spill over.;;;;;
fugi;1;Verbe;ú;souffler (vent), faire du vent, flotter au vent;make wind, float in the wind, to blow (wind does), be windy.;;;;;
fugi;2;Verbe;ú;mousser;lather;;;;;
fũgi;;Verbe;ũ̀;couvrir (avec couvercle);cover with a lid.;;;;;
fũgni;;Verbe;ũ̀;couvrir avec un couvercle ou chapeau;cover with a lid or hat;;;;pibli;
fu-gõaaga;;Nom;;aiguille;needle;fu-gõoga;;Tool;supĩim;
fu-goabga;;Nom;ú;couverture;blanket, cover-cloth;;fu-gobse;;fu-pindga, kũndri;
fu-gõoga;;Nom;ú;aiguille;needle;fu-gõaaga;fu-gõose;;supĩim, fu-pĩim;
fugumdi;;Verbe;ú-ì;secouer pour faire tomber;shake to make fall off;;fugsi;;;
fũki;;Verbe;ũ̀;découvrir, enlever un couvercle;uncover, take away a lid;;;Body;piki, libgi;
fulfuud bãaga;;Nom;ú;pneumonie;pneumonia;fulunfuud bãaga;fulfuudu bãase;Disease;;
fulfuudu;;Nom;;espèce de plante;kind of plant;;;Grass, herb, vine;;
fulfuugu;;Nom;ú;poumon;lung;;fulfuudu;Body;;
fulli;;Nom;ú-ì;pétale de la fleur du kapokier;petal of kapok tree flower;;fula;Parts of a plant;;
fũna;;Adverbe;ũ̀;doux au toucher;soft to touch;;;;vũna;
fũni;;Verbe;;affaiblir;weaken;;;;zʋme;
fu-paasda;;Nom;;blanchisseur;laundry worker, laundress;;;Worker;;
fu-pĩim;;Nom;ú;aiguille;needle;;;;fu-gõoga, supĩim;
fu-pindga;;Nom;;couverture;blanket;;;;fu-goabga, kũndri;
fu-poko;;Nom;ú-ó;pagne;loincloth.;;fu-pogdo;;;
furgi;;Verbe;ú-ì;transpercer, faire un trou;drill, make a hole, to pierce;;fursi;;;
furi;1;Nom;ú-ì;four;oven, stove.;;;;;
furi;2;Nom;ú;mariage, se marier;to marry, get married, marriage, wedding;;;;kãadem, maryaase;
fu-risga;;Nom;ú-à;frange;fringe.;;fu-rissi;;;
furkãnga;;Nom;ù-ã́-á;coussin de riche ou de chef;cushion for rich people.;;furkamse;;;
fu-roogo;;Nom;;moustiquaire;mosquito net.;;;;;
furrr;;Adverbe;ù;précipitamment;scuttle, quickly;;;;;
fut-koglgo;;Nom;;valise;suitcase.;fut koglgo;;;;
futu;;Nom;ú-ù;habits, vêtements;garments, clothes;;;Clothing;;
fuug-goeele;;Nom;;fauteuil;armchair.;;;;;
fuugu;;Nom;ú-ù;habit, vêtement, tissu, chemise;cloth, garment, clothing, shirt;;futu;Clothing;;
fu-wogdga;;Nom;;nappe;tablecloth.;;;;;
fu-woko;;Nom;;robe;dress;;;Clothing;;
fu-yergo;;Nom;;chemise;shirt;fu-yorgo, fu-yeorgo;;Clothing;;
fu-yorgo;;Nom;ú-ó;chemise, boubou;shirt, garment .;fu-yergo;fu-yordo;;;
fʋbge;;Verbe;ʋ́-è;lécher (doigt);lick, suck up.;;fʋbe;;;
fʋgdo;;Nom;ʋ́-ò;son de céréale;bran.;;;;;
fʋge;;Verbe;ʋ̀;enlever le son (céréales);take off husk of grains.;fʋke;;;;
fʋɩ;;Adverbe;;rien;nothing;fɩ;;;;
fʋke;;Verbe;ʋ̀;enlever l'enveloppe ou l'écorce (céréale ou plante);take off the husk or bark, uncover, strip, shell;;fʋgse;;;
fʋko;;Nom;ʋ́;écorce;bark;;;Parts of a plant;paoko1;
fʋlga;;Nom;;ethnie vivant au nord du Burkina Faso (aussi appelés koromfé);ethnic group living in the northern part of Burkina Faso;;fʋlse;Community;;
fʋnglgo;;Adjectif;;volumineux et peu solide, peu combatif;bulky and not hard/strong.;;fʋnglse;;;
fʋra;;Nom;;boules de farine de mil délayées dans l'eau, boule d'akassa;dish (balls of millet flour and water);;;Food;;
fʋre;;Verbe;;consommer la sauce uniquement sans le tô qui l'accompagne;eat the sauce alone without the porridge that goes with it;;;;yʋbe;
fʋremde;;Nom;;goitre;goitre;;fʋrma;Disease;koko-lʋʋgo;
fʋrge;1;Verbe;ʋ́-è;aspirer un liquide avec la bouche, boire un peu;suck up a liquid with the mouth, drink a little bit.;;fʋrse;;;
fʋrge;2;Verbe;ʋ́-è;s'échapper par une petite ouverture;escape through a small opening.;;;;;
fʋrge;3;Verbe;;défaire, démêler, déplier, démanteler;unfold, unravel, dismantle sth;;;;yidgi;
fʋrsɛta;;Nom;;fourchette;fork;;fʋrsɛtse;Tool;;
fʋsge;;Verbe;ʋ́-è;se défaire, se détacher;unfasten, undo, untie.;;fʋse;;;
fʋʋge;;Verbe;ʋ́-è;s'enfler;swell up.;;;;;
fʋʋre;1;Adjectif;ʋ́-è;enflé;swollen.;;fʋya;;;
fʋʋre;2;Nom;;four;oven;;;;;
fʋʋse;;Verbe;ʋ́-è;souffler;blow;;;;;
ga;1;Verbe;á;tirer plusieurs choses hors de;pull out several things, to pull sth;;;;;
ga;2;Verbe;à;manger sans sauce;eat without sauce, to eat dry staple without soup;;;;"wẽeme2; antonyme: yʋbe";yʋbe
ga;3;Verbe;à;se serre (mâchoires);press firmly (jaws).;;;;;
gã rãmba;;Nom;;gants;gloves;;;Clothing;nug-wʋʋgo;
gãabg-bĩn-peendo;;Nom;;plante (espèce);plant sp;;;Grass, herb, vine;;
gãabg-sũmkaam;;Nom;;espèce de plante;kind of plant;;;Grass, herb, vine;;
gaafara;;Nom;;pardon, excuse;pardon, excuse me;;;;kabre;
gãag soaba;;Nom;á-à-á;hôte, étranger, visiteur;host, stranger, guest;;gãag soben-dãmba;;;
gãag sobendo;;Nom;á-ò-ó;hospitalité;hospitality;;;;sãan-deegre, deegre;
gãag zĩiga;;Nom;;hôtel, auberge;hotel, inn, hostel;;;Building;;
gãaga;1;Nom;á-à;dormir (action de);sleeping, sleepover, kip, action of sleeping, night's rest;;gãase;;;
gãaga;2;Nom;á-à;fruit du diospyros mespiliformis;fruit of the diospyros tree;;;Food;;
gaage;1;Verbe;á-è;tirer une chose hors de, tirer à soi, faire venir vers soi, faire une excavation;pull out one thing, pull towards oneself, excavate.;;gaase;;;
gaage;2;Verbe;à;accrocher, faire passer autour;hook on, hitch up, make go around.;;;;;
gãaka;;Nom;á;arbre (espèce), ébénier de l'ouest Africain;swamp-ebony tree;;gãagse;Tree;;
gaame;;Verbe;à;mélanger, malaxer, brasser, entortiller;mix up, knead, brew, entangle;;;;gẽdme;
gãande;;Verbe;ã́-è;coucher se, passer la nuit;to lie down, lay down, go to bed, pass the night;;;;;
gãane;;Verbe;à;marcher lentement;walk slowly;;;;;
gaare;1;Nom;á-è;selle, bât;saddle, packsaddle.;;gaya;;;
gaare;2;Adjectif;à-é;sans sauce;without sauce;;gaya;;;
gaarga;;Nom;á-á;fil pour coudre;thread for sewing, yarn.;;gaarse;;;
gaa-rʋʋre;;Nom;;roux;foxy red;gaarʋʋre;;Colour;moosgo;
gaas buud sẽn gũbg tẽngã;;expression;;atmosphère, couche de gaz qui entoure la terre;atmosphere;;;Sky;;
gaas yalẽ;;expression;;gazeux;gaseous form.;;;;;
gãa-saaga;;Nom;;espèce de plante;kind of plant;;;Grass, herb, vine;;
gaase;;Nom;á-è;gaz;gas.;;;;;
gaaz yiisgu;;expression;;émission de gaz;gas emission;;;Sky;;
gãbdo;;Nom;;feuilles d’oignon pilées et séchées;onion leaves dried and pound.;;;;;
gãbe;;Nom;à-é;force physique, pouvoir;physical strength.;;;;;
gãbga;;Nom;á-à;point ou but (jeu ou sport);score or goal (game or sports).;;gãbse;;;
gã-bila;;Nom;;berceau;cradle;;;Household equipment;;
gãbre;;Adjectif;à-é;gros, énorme;big, corpulent, enormous.;;gãba;;;
gãbro sinkma;;Nom;;plante (espèce);plant sp;;;Grass, herb, vine;;
gabrobim-pendo;;Nom;;plante (espèce);plant sp;;;Grass, herb, vine;;
gabse;;Verbe;à;plaisanter, s'amuser, taquiner;joke, jest, amuse, tease.;;;;;
gada;;Nom;à-á;orgueil;pride.;;;;;
gadbe;;Verbe;à;mal faire un travail;do a lousy job.;;;;;
gãde;;Verbe;ã̀;saisir, tenir, attraper;catch, hold, grip, grasp, take hold of;gʋde;;;;
gadgo;;Nom;;canapé, lit;sofa, bed.;;;;;
gãe;;Verbe;ã́;couché (être);to be laying down;;;;;
gãeega;;Nom;;chenille aux poils;hairy caterpillar;;;Small animals;gãnga3;
gãeemdo;1;Nom;á-ó;folie;folly, foolishness.;;;;;
gãeemdo;2;Nom;ã́-ó;folie, trouble mental;folly, mental trouble;;;Disease;zu-lɛbga;
gãeeme;;Verbe;á;devenir fou, rendre fou, devenir enragé, perdre la tête;become mad, make mad, to be / become / make sb;;;;;
gãense;;Verbe;à;enjamber, sauter plusieurs fois;step over, stride over, jump several times.;;;;;
gage;;Verbe;á;consommer trop (liquide);consume too much (liquid);;;;;
gãge;;Verbe;á;se disputer, se chamailler;quarrel, contest, bandy words with, argue, squabble.;;;;;
gãg-gãge;;Adverbe;;de manière saccadée;jerkily, fitfully;;;;yã-yã;
gãgne;;Verbe;á-è;grommeler;mutter, grumble.;;;;;
gãgnese;;Nom;á-é;disputes, chamailleries;quarrelling, bickering.;;;;;
gãkɩ;;Adverbe;á;plein jusqu’au bord;totally full to the rim;;;;;
galbre;;Adjectif;;gros, énorme;corpulent, fatty, too big;;galba;;;
gale;;Verbe;á;être excédentaire;be too much, surplus;;;;;
galem;;Nom;;charbon;anthrax;;;Disease;zalem;
galen-tẽnga;;Nom;à-é;ville, centre urbain;town, urban centre;;galen-tẽnse;;galʋ tẽnga;
galle;;Nom;à-é;nombreux, abondant, riche;numerous, abundant, rich, plentiful, common;;gala;;;
gal-peelga;;Nom;;espèce d'arbre;kind of tree;;;Tree;;
galse;;Verbe;á-è;trier, sélectionner, rechercher;select, sort out, assort, try to find, look for, pick out;;;;;
galʋ tẽnga;;expression;;ville;town;;;;galen-tẽnga;
gãm;;Nom;;le tiens;holding;;;;;
gãmbre;;Nom;;filet de rangement;cradle for storing calabashes, line sp;;gãmbse;;gãnegãmdo;
gãmdo;;Nom;ã́-ò;plante grimpante;vines, creepers (general term);;;Grass, herb, vine;;
gãme;;Verbe;à;s'accrocher, être accroché;cling on, hitch up, hook on, to hang on / from, be yoked / harnessed.;;;;;
gãnd nomb zĩiga;;Nom;;tannerie;tannery;;;Building;;
gãnda;;Nom;à-á;espace non cultivé;land that is not farmed.;;;;;
gãndaalem;;Nom;à-é;vivacité, intrépide, bravoure;dauntless, fearless, bravery.;;;;;
gãndaoogo;;Nom;à-á;personne brave, intrépide, énergique;person who is brave, fearless, energetic, a hero, champion;;gãndaado;;;
gãndge;;Verbe;ã̀-é;passer par-dessus, enjamber, sauter;pass over, step over, jump over, cross over, go over;gãnge;;;;
gãneg yam;;Verbe;;tranquilliser;reassure, stop worrying.;;;;;
gãnegãmdo;;Nom;à-á-ò;toile d'araignée;spider-web, cobweb;gãngãmdo;;;gãmbre;
gãnege;;Verbe;á-è;coucher, faire coucher (une seule fois);to lay sth./sb;;gãnese;;;
gãnem;;Nom;à-é;parasite qui attaque les pieds de mil;parasite that attacks millet stalks;;;;;
gãnga;1;Nom;ã́;bande de cotonnade noir et blanc, étoffe faite des bandes noires et blanches;cloth strip mad of black an white cotton;;;;;
