mot_moore;sens_num;categorie_grammaticale;prononciation;definition_francais;definition_english;variante;pluriel;domaine;synonymes;antonymes
ãsge;;Verbe;ã̀;rompre sous la pression (barrière, digue);break under pressure (dam);;;;;
ãsme;;Verbe;ã̀;étaler (s') occuper une surface;spread out;;;;wãsme, wãsme;
avoaka;;Nom;;avocat;avocado;;;Food;;
Awa;;Nom;;Eve;Eve;;;;;
ayae;;interj;á;non;no.;ayɛ, ayo;;;;
ayo;;interj;á-ó;non;no;ayae, ayɛ, ayoo;;;;
azã;;Nom;;espèce de grosse araignée;kind of big spider;;;Spider;zãabazã;
azi;;Nom;á;Asie;Asia;;;Region;;
b;1;Pronom;;ils, elles, on;they;bãmb, ba, eb;;;;
b;2;Pronom;;vous de majesté, de politesse;you of politeness, reverence;eb, bãmb;;;;
ba;1;Nom;á;père;father;baaba;ba-rãmba;Relationships;"saamba; antonyme: ma1";ma1
ba;2;auxiliaire;á;même (pas);not even;;;;;
ba;3;Pronom;;ils, elles, les;they, them;b, bãmba;;;;
ba;4;Verbe;à;enfoncer (à coups);knock in, drive into the ground, fix a peg;;;;;
ba;5;Nom;á;aîné(e), grand frère, grande sœur (suivi du prénom);senior, elder brother, elder sister (followed by first name), senior sibling (used as an honorific);;;Relationships;;
bã;;Verbe;ã́;empiler l'un sur l'autre, mettre les uns sur les autres;to stack up, to pile things up on top of each other.;;;;;
ba la ma yʋʋre;;expression;;filiation;name of father and mother, descent, parentage, relationship, kinship.;;;;;
ba ne;;auxiliaire;á -é;malgré (que), bien que, quoique;despite, although, though, albeit;;;;;
baa;;Adverbe;;même;even;;;;;
baa a ye;;expression;;aucun, aucune;not any, none.;;;;;
baa bilfu ye;;expression;;aucun, ne même pas un peu;non, not even a bit, not one;baa yẽ ta, baa a ye;;;;
baa fɩ;;expression;;rien;nothing;baa fʋɩ;;;;
baaba;;Nom;à-á;papa, père;daddy, papa, pa, dad;ba;baaba-rãmba;Relationships;;ma1
baaba-bila;;Nom;à-à-í-á;jeune frère du père, cadet du père;father's younger brother, junior uncle;ba-bila;;Relationships;;
baaba-kasenga;;Nom;à-à-á-é-á;aîné du père;father's older brother, senior uncle;ba-kasenga;baaba-kase mse;Relationships;;
bãada;;Nom;ã̀-á;malade, patient;sick person, ill person, patient, diseased, sick one;;bãad-dãmba;Sick;;
baade;1;Verbe;à-è;séparer (se), quitter, démêler;separate, unravel.;;;;;
baade;2;Verbe;à-é;savoir (que);to know (that).;;;;;
bãadga;;Adjectif;ã̀-á;maladif;unhealthy, sickly;;bãadse;;bã-bi soaba;
baaf ne tẽka;;Nom;á é é-à;point d'exclamation;exclamation mark.;;;;;
baag bãnga-soaba;;Nom;;à la tombée de la nuit, crépuscule;when it gets dark, nightfall, twilight;;;;zĩ-sobdo;
baag bɛnda;1;Nom;á-á;sauce de feuilles et de farine;sauce made of leaves and of flour.;;;;;
baag bɛnda;2;Nom;;mélange de légumes et de farine de mil;dish (mix of vegetables and millet flour);;;Food;;
bãag biiga;;Nom;á-á-í-á;microbe;germ, microbe;;bãag biisi;Disease;;
bãag bila;;Nom;;amibe;amoeba;;;Small animals, Disease;;
bãag loangdga;;Nom;;épidémie;epidemic;bãag lingdga;;Disease;;
baag moogo;;Nom;á-ó;herbe (espèce);grass sp;;;Grass, herb, vine;;
baag sʋʋre;;Nom;;libellule (espèce);kind of dragonfly;;;Insect;;
baag yãado;;Nom;á-ó;catastrophe, fiasco;catastrophe, fiasco.;;;;;
baag yoore;;Nom;;espèce de plante;kind of plant;baag ye-wi;baag zerma;Grass, herb, vine;;
baag zerma;;Nom;;espèce de plante;kind of plant;;;Grass, herb, vine;;
baaga;1;Nom;á;chien, canin;dog, canine;;baase;Mammal;;
baaga;2;Adjectif;á;géant, immense, extraordinaire, très intense;huge, enormous, colossal, extraordinary, very intense;;baase;;;
bãaga;;Nom;á-á;maladie;disease, illness, sickness, malady, germ;;bãase;Disease;;
baage;;Verbe;à;dés-enfoncer, enlever;take or pull out, extract;;;;;
bãage;;Verbe;à;marquer;mark.;;;;;
baag-taanga;;Nom;;espèce d'arbre, pomme cannelle;cinnamon;;;Tree;barkudga;
baale;1;Verbe;à;mettre aux fers;put into iron.;;;;;
baale;2;Verbe;á-è;démêler, séparer;disentangle, clear up, separate.;;;;;
baalle;;Nom;á-é;mouton haut sur pattes;sheep with long legs;;baala;Mammal, Animal husbandry;;
baamd tõogo;;Nom;;autorité parentale;parental authority.;;;;;
baamdo;;Nom;;parenté (le fait d'être père);fatherhood;;;Relationships;;maamdo
baame;1;Verbe;à;bégayer;stutter, stammer;;;;bɩdbe;
baame;2;Verbe;á-è;chanter les louanges de, louer;sing praise songs, praise, sing praises of patrons in return for (expected) gifts or favours.;;;;;
bãane;1;Verbe;ã̀;être mince;be thin.;;;;;
bãane;2;Adverbe;ã̀-é;quiétude, paisiblement, en paix, paisible, tranquille;quietly, peacefully, quiet, calm;;;;;
bãane;2;Nom;;sécurité;security.;;;;;
bãanega;;Adjectif;ã̀-á;fin, mince;fine, slender, thin, slim.;;bãanese;;;
bãanem;1;Nom;ã̀-é;finesse, minceur;thinness, slenderness.;;;;;
bãanem;2;Adverbe;ã̀-é;en paix, tranquillement, lentement;peacefully, calm, slow;;;;;
bãanem;2;Nom;;paix, tranquillité;peace, quietness, peacefulness;;;;laafɩ;
bãanem-bãanem;;Adverbe;ã̀-é ã̀-é;doucement, lentement;gently, mildly, smoothly, slowly.;;;;;
baare;1;Nom;á;pieu, lieu pour attacher le cheval;pole, stake, place to tie up the horse;;baya;;;
baare;2;Nom;á-è;bar;bar, tavern;;baar dãmba;Building;;
bãas biis kʋʋbo;;Nom;;stérilisation;sterilization.;;;;;
baase;1;Verbe;á-è;terminer, achever, finir;finish, complete, end, conclude, bring or come to an end;;;;"sa1; antonyme: sɩnge1";sɩnge1
baase;2;auxiliaire;á-è;malgré tout, quand même, tout de même;all the same, even so, anyhow, after all;;;;kelle2;
baasgo;;Nom;á-ó;fin, fin de quelque chose, terminaison;end, ending.;baoosgo;;;;
babg soaba;;Nom;á-ò-á;blagueur;person telling jokes.;;;;;
babga;;Nom;á-à;blague;joke.;;;;;
babge;;Verbe;á-è;dépasser la destination initiale;go beyond the initial destination.;;;;;
bã-bi soaba;;Nom;;maladif;sickly, unhealthy;;;Sick;bãadga;
ba-biiga;;Nom;á-ì-á;frère ou sœur consanguin(e), parent du côté du père;brother or sister related through the father, parent from father's side, paternal relative, brothers and sisters of the same father;;ba-biisi;Relationships;saam-biiga;
ba-bila;1;Nom;à-í-á;chiot;puppy, pup, small dog;;ba-biisi;Mammal;;
